date,wisatawan
2008-01,147319
2008-02,159681
2008-03,159886
2008-04,154777
2008-05,167342
2008-06,178258
2008-07,190662
2008-08,195758
2008-09,189247
2008-10,189142
2008-11,172813
2008-12,176901
2009-01,173919
2009-02,146192
2009-03,168036
2009-04,188189
2009-05,190697
2009-06,200503
2009-07,235042
2009-08,232164
2009-09,218245
2009-10,225606
2009-11,184622
2009-12,221604
2010-01,178358
2010-02,191362
2010-03,191125
2010-04,184230
2010-05,199401
2010-06,224695
2010-07,252110
2010-08,243222
2010-09,232516
2010-10,229651
2010-11,196856
2010-12,222497
2011-01,208337
2011-02,201457
2011-03,202539
2011-04,224423
2011-05,208832
2011-06,245248
2011-07,279219
2011-08,252698
2011-09,252855
2011-10,244421
2011-11,220341
2011-12,248336
2012-01,249728
2012-02,209160
2012-03,222950
2012-04,222657
2012-05,220508
2012-06,241108
2012-07,271371
2012-08,253970
2012-09,255717
2012-10,252716
2012-11,237874
2012-12,264366
2013-01,229561
2013-02,236971
2013-03,247024
2013-04,239400
2013-05,244874
2013-06,275452
2013-07,297723
2013-08,309051
2013-09,305429
2013-10,266453
2013-11,296990
2013-12,292961
2014-01,278685
2014-02,269367
2014-03,268418
2014-04,277925
2014-05,285965
2014-06,329654
2014-07,358907
2014-08,336628
2014-09,352017
2014-10,339200
2014-11,293858
2014-12,341111
2015-01,288755
2015-02,333072
2015-03,294758
2015-04,309888
2015-05,287141
2015-06,357712
2015-07,381890
2015-08,298638
2015-09,379397
2015-10,366759
2015-11,262180
2015-12,363780
2016-01,343663
2016-02,367024
2016-03,354778
2016-04,367370
2016-05,394443
2016-06,405686
2016-07,482201
2016-08,437929
2016-09,442304
2016-10,423140
2016-11,396150
2016-12,437946
2017-01,455930
2017-02,448157
2017-03,424134
2017-04,477408
2017-05,488698
2017-06,505976
2017-07,594238
2017-08,601553
2017-09,551968
2017-10,464703
2017-11,360043
2017-12,309440
2018-01,345191
2018-02,443805
2018-03,484846
2018-04,516143
2018-05,526281
2018-06,540462
2018-07,624263
2018-08,571380
2018-09,555888
2018-10,515181
2018-11,406679
2018-12,495641
2019-01,451708
2019-02,436266
2019-03,441707
2019-04,476104
2019-05,483928
2019-06,549483
2019-07,604310
2019-08,602457
2019-09,589984
2019-10,565966
2019-11,492904
2019-12,544726
2020-01,533392
2020-02,358929
2020-03,166388
2020-04,273
2020-05,34
2020-06,10
2020-07,16
2020-08,12
2020-09,8
2020-10,7
2020-11,2
2020-12,127
2021-01,2
2021-02,12
2021-03,3
2021-04,9
2021-05,8
2021-06,1
2021-07,0
2021-08,0
2021-09,0
2021-10,2
2021-11,6
2021-12,0
2022-01,0
2022-02,1293
2022-03,14617
2022-04,58315
2022-05,115553
2022-06,181545
2022-07,246442
2022-08,276627
2022-09,291115
2022-10,305152
2022-11,287025
2022-12,376361
2023-01,329909
2023-02,317005
2023-03,366956
2023-04,410281
2023-05,439454
2023-06,478127
2023-07,541272
2023-08,522063
2023-09,508297
2023-10,458845
2023-11,397522
2023-12,478382
2024-01,414937
2024-02,454398
2024-03,463804
2024-04,502870
2024-05,544492
2024-06,520792
2024-07,625569
2024-08,613540
2024-09,591848
2024-10,554892
2024-11,472714
2024-12,548685
